lot_frontage,lot_area,lot_frontage_imputed
,13517,79
43.0,11492,43
68.0,7922,68
73.0,9802,73
82.0,14235,82
137.0,16492,137
35.0,3675,35
,12160,75
,15783,85
70.0,11606,70
21.0,1680,21
64.0,7488,64
120.0,26400,120
24.0,2645,24
74.0,9627,74
93.0,10114,93
34.0,4571,34
80.0,8816,80
71.0,8197,71
72.0,8640,72
109.0,8724,109
40.0,5664,40
103.0,12867,103
,7980,64
100.0,34650,100
92.0,10573,92
65.0,8450,65
,11700,74
75.0,8250,75
60.0,8064,60
80.0,9600,80
,11435,73
30.0,9549,30
60.0,10950,60
79.0,10637,79
80.0,9000,80
41.0,2665,41
105.0,11751,105
80.0,9600,80
60.0,8428,60
75.0,9937,75
107.0,13891,107
,9101,67
81.0,12150,81
70.0,11200,70
100.0,9670,100
60.0,10998,60
60.0,7200,60
80.0,9920,80
36.0,2448,36
,2998,51
65.0,7804,65
80.0,16692,80
21.0,1476,21
75.0,10170,75
80.0,9364,80
24.0,2544,24
82.0,9888,82
68.0,7942,68
,15038,83
92.0,11764,92
75.0,9000,75
,20062,96
81.0,7308,81
70.0,8750,70
70.0,8402,70
63.0,4000,63
32.0,3363,32
94.0,13615,94
43.0,3013,43
44.0,17485,44
,23730,106
79.0,8910,79
24.0,2522,24
73.0,8688,73
,6291,60
,17529,90
60.0,6324,60
80.0,11600,80
50.0,7288,50
35.0,4571,35
63.0,17423,63
100.0,12665,100
60.0,9000,60
32.0,4500,32
48.0,6373,48
67.0,10083,67
70.0,13300,70
80.0,9600,80
30.0,3215,30
,11104,73
,15295,84
70.0,9109,70
64.0,7018,64
,14112,81
80.0,3523,80
88.0,15312,88
74.0,7450,74
60.0,7313,60
83.0,10019,83
53.0,15401,53
58.0,9098,58
103.0,16280,103
72.0,9392,72
71.0,12209,71
79.0,13110,79
,2651,50
60.0,8520,60
,39384,148
36.0,2628,36
57.0,6406,57
,12342,76
52.0,6240,52
87.0,10000,87
,9000,67
80.0,11088,80
134.0,17755,134
,4765,56
,10532,71
65.0,15426,65
63.0,13907,63
70.0,8750,70
,9945,69
56.0,8960,56
50.0,3500,50
,24572,109
74.0,9056,74
70.0,12320,70
60.0,8238,60
75.0,6000,75
24.0,2529,24
60.0,10800,60
24.0,2349,24
32.0,10846,32
67.0,5604,67
21.0,1680,21
54.0,6342,54
34.0,4590,34
60.0,18062,60
60.0,12900,60
140.0,19138,140
,8658,66
,6897,61
75.0,9525,75
57.0,12853,57
52.0,6240,52
64.0,7301,64
78.0,12090,78
,8826,66
57.0,8094,57
,10710,71
85.0,16056,85
70.0,8400,70
90.0,11250,90
70.0,7535,70
88.0,12216,88
30.0,3701,30
80.0,9760,80
60.0,9873,60
72.0,10011,72
,25339,111
,8883,67
50.0,3000,50
36.0,2448,36
73.0,7100,73
36.0,2592,36
,5700,58
24.0,2289,24
60.0,12180,60
,7400,63
68.0,8842,68
60.0,8850,60
92.0,9215,92
79.0,9480,79
82.0,11880,82
60.0,10800,60
,7861,64
,11616,74
96.0,10542,96
21.0,1680,21
80.0,8546,80
90.0,7407,90
78.0,10140,78
80.0,14584,80
65.0,8158,65
62.0,7500,62
85.0,10678,85
49.0,15256,49
88.0,14200,88
82.0,12438,82
59.0,16023,59
155.0,20064,155
,9819,69
80.0,10400,80
91.0,11643,91
78.0,11645,78
61.0,7328,61
72.0,7822,72
65.0,9018,65
103.0,13472,103
,1533,47
85.0,11003,85
83.0,10790,83
53.0,7128,53
64.0,7713,64
52.0,6240,52
86.0,22420,86
85.0,15300,85
,3196,51
72.0,9360,72
,11241,73
81.0,9260,81
90.0,7993,90
94.0,9239,94
60.0,10044,60
43.0,3182,43
60.0,7626,60
60.0,7008,60
128.0,12160,128
50.0,6305,50
68.0,8846,68
,10659,71
68.0,13108,68
,13500,79
62.0,7750,62
60.0,12450,60
,4500,55
77.0,11198,77
79.0,6221,79
120.0,13200,120
65.0,8769,65
85.0,10200,85
60.0,9550,60
42.0,10331,42
59.0,9587,59
90.0,9900,90
,22002,102
100.0,13000,100
75.0,8250,75
81.0,8170,81
80.0,12048,80
89.0,10858,89
61.0,7577,61
62.0,7500,62
51.0,6120,51
69.0,23580,69
44.0,5306,44
70.0,8092,70
77.0,8593,77
64.0,11067,64
,11929,75
90.0,9900,90
50.0,4882,50
,11423,73
65.0,8772,65
63.0,7628,63
77.0,8335,77
71.0,8220,71
107.0,10615,107
50.0,6000,50
55.0,5350,55
60.0,5400,60
,17979,91
68.0,9520,68
50.0,5330,50
50.0,8012,50
75.0,9000,75
62.0,14299,62
,7050,62
30.0,3180,30
112.0,16451,112
76.0,12887,76
105.0,15578,105
60.0,7200,60
48.0,17043,48
125.0,10000,125
75.0,8050,75
43.0,3182,43
24.0,1950,24
70.0,7700,70
98.0,8731,98
89.0,8232,89
24.0,2280,24
68.0,8935,68
,9125,67
,11075,72
113.0,13438,113
82.0,11070,82
65.0,7800,65
78.0,7060,78
,11836,74
60.0,8382,60
102.0,10192,102
,4426,55
24.0,2280,24
,2887,51
60.0,8520,60
21.0,1596,21
78.0,15600,78
65.0,9313,65
22.0,11064,22
75.0,9000,75
75.0,12000,75
62.0,7692,62
81.0,14267,81
75.0,9675,75
60.0,8400,60
50.0,7500,50
60.0,9600,60
,5814,58
,14860,83
,14803,82
50.0,7550,50
65.0,8125,65
40.0,13673,40
21.0,1533,21
61.0,7658,61
63.0,12292,63
122.0,11923,122
91.0,10010,91
,12358,76
63.0,8577,63
72.0,8640,72
62.0,10447,62
80.0,9600,80
69.0,4899,69
87.0,9246,87
,4928,56
,12692,77
84.0,7476,84
53.0,5362,53
78.0,12090,78
96.0,12539,96
,11888,75
,7082,62
,8755,66
68.0,4080,68
,32463,130
112.0,12217,112
,3696,53
70.0,7560,70
55.0,10592,55
21.0,1680,21
75.0,10382,75
24.0,2522,24
70.0,9370,70
,10246,70
85.0,11475,85
75.0,9986,75
63.0,10475,63
50.0,6000,50
50.0,4280,50
119.0,10895,119
78.0,17503,78
109.0,9723,109
90.0,11694,90
105.0,8470,105
50.0,6000,50
70.0,10519,70
91.0,10437,91
65.0,7514,65
118.0,13654,118
48.0,5747,48
55.0,4500,55
91.0,11830,91
71.0,8520,71
66.0,6760,66
51.0,6191,51
80.0,8700,80
92.0,12003,92
,12700,77
75.0,13125,75
,8638,66
76.0,9967,76
60.0,9600,60
,12774,77
70.0,8163,70
90.0,9900,90
95.0,13651,95
60.0,7200,60
65.0,9750,65
73.0,11184,73
92.0,5520,92
64.0,6390,64
79.0,10240,79
78.0,9316,78
60.0,7200,60
108.0,12228,108
78.0,10335,78
,12328,76
68.0,8930,68
81.0,9672,81
120.0,13975,120
94.0,7819,94
60.0,11340,60
21.0,1680,21
65.0,6001,65
78.0,11700,78
102.0,12858,102
73.0,9300,73
64.0,7018,64
54.0,6629,54
75.0,10650,75
,2117,48
105.0,13650,105
42.0,8433,42
21.0,1680,21
50.0,6000,50
50.0,8500,50
60.0,6882,60
66.0,8712,66
,7917,64
71.0,6900,71
60.0,9900,60
86.0,13286,86
107.0,12888,107
,8885,67
62.0,8857,62
53.0,14137,53
53.0,6720,53
60.0,7500,60
63.0,13072,63
67.0,10656,67
60.0,7200,60
80.0,8800,80
60.0,10800,60
50.0,9000,50
80.0,13014,80
,15896,85
41.0,5395,41
,5105,56
75.0,9473,75
60.0,8400,60
64.0,12102,64
41.0,10905,41
,9556,68
58.0,6430,58
65.0,6040,65
80.0,14695,80
50.0,9000,50
67.0,8368,67
195.0,41600,195
59.0,6490,59
60.0,7290,60
,7472,63
70.0,7000,70
,11717,74
106.0,11194,106
90.0,11250,90
64.0,8633,64
70.0,8400,70
87.0,10037,87
,8014,64
,12250,76
,2403,49
50.0,8600,50
60.0,13680,60
60.0,10800,60
39.0,5389,39
60.0,10890,60
68.0,9768,68
73.0,8993,73
50.0,11672,50
,9763,69
56.0,9836,56
89.0,10557,89
70.0,8462,70
60.0,10818,60
61.0,7259,61
,11800,74
75.0,7500,75
,159000,468
62.0,6488,62
110.0,14230,110
110.0,7810,110
85.0,14331,85
30.0,3182,30
24.0,1920,24
68.0,10110,68
91.0,10984,91
85.0,14082,85
50.0,8480,50
,12205,75
90.0,15750,90
70.0,8050,70
60.0,7200,60
35.0,6300,35
30.0,5232,30
72.0,11846,72
130.0,16900,130
,9636,69
90.0,10012,90
91.0,14303,91
43.0,5707,43
78.0,9360,78
40.0,5680,40
70.0,7000,70
51.0,10480,51
95.0,11578,95
64.0,7018,64
,9130,67
60.0,10800,60
62.0,8244,62
60.0,6000,60
,3621,53
59.0,7837,59
72.0,10665,72
70.0,10457,70
60.0,8281,60
67.0,14948,67
43.0,7000,43
,3940,53
93.0,9382,93
55.0,6854,55
,11515,74
,13837,80
80.0,9938,80
85.0,12633,85
57.0,6876,57
36.0,3951,36
62.0,9856,62
84.0,17808,84
74.0,9627,74
50.0,6000,50
65.0,9757,65
58.0,9280,58
120.0,14780,120
60.0,7740,60
80.0,9600,80
97.0,13478,97
65.0,10926,65
,6853,61
85.0,10667,85
45.0,8212,45
70.0,9100,70
50.0,6000,50
78.0,9316,78
75.0,9464,75
80.0,10400,80
59.0,5310,59
64.0,7406,64
,4538,55
62.0,10106,62
,13346,79
57.0,9639,57
,15387,84
75.0,10050,75
,6240,60
45.0,7506,45
,8900,67
80.0,8480,80
50.0,6000,50
74.0,8847,74
,8050,64
70.0,8294,70
,7920,64
100.0,18494,100
,7162,62
53.0,10918,53
37.0,4435,37
,11250,73
,14375,81
100.0,9045,100
97.0,10029,97
34.0,4060,34
82.0,9020,82
96.0,11777,96
70.0,10171,70
80.0,10400,80
52.0,6240,52
,12150,75
24.0,2645,24
,22692,103
60.0,9600,60
74.0,13830,74
,4435,55
,5890,59
112.0,10859,112
41.0,5330,41
72.0,10778,72
74.0,6845,74
109.0,21780,109
80.0,10307,80
32.0,4500,32
75.0,9060,75
24.0,2160,24
70.0,7669,70
62.0,9858,62
50.0,10300,50
65.0,8125,65
69.0,14850,69
35.0,4274,35
80.0,9650,80
,14585,82
75.0,9000,75
,13774,80
50.0,5119,50
71.0,9254,71
95.0,10324,95
63.0,8375,63
75.0,9750,75
74.0,7632,74
90.0,15750,90
,9240,68
80.0,10400,80
80.0,8800,80
86.0,11839,86
70.0,9135,70
90.0,14115,90
109.0,14154,109
65.0,6565,65
70.0,7700,70
63.0,4761,63
87.0,12361,87
72.0,9720,72
72.0,8640,72
123.0,47007,123
30.0,3180,30
38.0,14963,38
50.0,5000,50
129.0,16870,129
86.0,14157,86
96.0,12456,96
100.0,14836,100
56.0,6956,56
75.0,7862,75
,11050,72
57.0,8924,57
,9610,69
75.0,13710,75
100.0,12552,100
43.0,14565,43
56.0,18559,56
68.0,10880,68
24.0,2280,24
125.0,31250,125
81.0,11841,81
85.0,9187,85
82.0,6270,82
,15660,85
43.0,3087,43
95.0,13450,95
75.0,10125,75
80.0,8146,80
60.0,9600,60
98.0,12328,98
76.0,10141,76
65.0,8529,65
65.0,8127,65
70.0,8400,70
44.0,10751,44
77.0,10010,77
40.0,4280,40
60.0,9600,60
70.0,9800,70
63.0,7560,63
60.0,9600,60
76.0,9880,76
80.0,9600,80
70.0,7931,70
,5100,56
,9720,69
70.0,8521,70
52.0,8741,52
89.0,12461,89
76.0,6950,76
115.0,16905,115
53.0,7155,53
,9205,67
64.0,7697,64
78.0,7800,78
,14357,81
65.0,8775,65
24.0,2645,24
43.0,13568,43
47.0,16321,47
72.0,8640,72
21.0,1596,21
70.0,7315,70
42.0,7614,42
,11000,72
,10337,70
114.0,14803,114
50.0,8765,50
106.0,12720,106
85.0,11128,85
60.0,5160,60
63.0,13072,63
73.0,8814,73
70.0,7000,70
59.0,4484,59
,9019,67
60.0,8520,60
92.0,11932,92
,115149,351
40.0,14330,40
67.0,8777,67
24.0,2308,24
50.0,2500,50
50.0,8049,50
70.0,5600,70
73.0,9590,73
72.0,7200,72
86.0,11500,86
60.0,6756,60
63.0,11426,63
93.0,12030,93
80.0,9554,80
61.0,8534,61
104.0,11361,104
47.0,12416,47
80.0,9600,80
70.0,8267,70
50.0,6000,50
80.0,9600,80
71.0,7350,71
,7703,63
63.0,4347,63
80.0,9600,80
98.0,12256,98
80.0,9547,80
60.0,7200,60
63.0,13072,63
60.0,3600,60
21.0,1680,21
37.0,3316,37
72.0,16387,72
,13265,78
48.0,3242,48
64.0,8991,64
80.0,8000,80
,9303,68
,8544,66
,11425,73
75.0,11404,75
72.0,8229,72
56.0,4485,56
,15635,85
56.0,3153,56
84.0,11096,84
80.0,14000,80
74.0,7733,74
,8098,64
70.0,8393,70
60.0,12900,60
,57200,196
70.0,8078,70
,12384,76
,9927,69
39.0,16300,39
,7915,64
100.0,21750,100
70.0,9116,70
125.0,14419,125
67.0,13070,67
73.0,9855,73
60.0,8118,60
,10920,72
60.0,6600,60
63.0,8199,63
,9947,69
100.0,14330,100
68.0,10769,68
57.0,8846,57
,10600,71
,18890,93
69.0,9142,69
,7750,64
50.0,6060,50
58.0,10172,58
86.0,10380,86
69.0,9337,69
60.0,7200,60
60.0,9600,60
72.0,8640,72
70.0,7931,70
75.0,11625,75
80.0,9600,80
98.0,11478,98
61.0,7740,61
71.0,9520,71
,17199,89
40.0,5400,40
60.0,10800,60
90.0,9900,90
50.0,6000,50
94.0,17778,94
21.0,1477,21
85.0,19645,85
70.0,8750,70
74.0,7785,74
60.0,10800,60
76.0,9139,76
78.0,10140,78
60.0,10122,60
74.0,10141,74
21.0,2205,21
60.0,10914,60
129.0,9196,129
75.0,9803,75
59.0,17169,59
59.0,9171,59
65.0,9750,65
75.0,8604,75
60.0,6155,60
58.0,9487,58
35.0,3675,35
60.0,10200,60
75.0,11750,75
88.0,11896,88
80.0,10400,80
,10970,72
73.0,11883,73
70.0,10552,70
45.0,8248,45
80.0,9760,80
34.0,2998,34
51.0,6821,51
,11354,73
73.0,9069,73
60.0,8064,60
90.0,5400,90
55.0,5687,55
47.0,53504,47
63.0,7500,63
108.0,13173,108
82.0,9488,82
,13526,79
60.0,10410,60
100.0,12000,100
,7830,64
65.0,8850,65
41.0,7132,41
75.0,9937,75
52.0,5720,52
,12585,76
85.0,11103,85
57.0,8013,57
77.0,10872,77
80.0,11305,80
70.0,9100,70
73.0,39104,73
58.0,10110,58
60.0,9786,60
30.0,5330,30
44.0,3811,44
43.0,3010,43
37.0,3435,37
80.0,10800,80
,10456,71
,8475,65
70.0,8197,70
88.0,10994,88
50.0,6000,50
50.0,7288,50
80.0,13360,80
78.0,10335,78
70.0,11767,70
60.0,10896,60
60.0,5400,60
70.0,9100,70
70.0,7728,70
75.0,8778,75
63.0,8487,63
,9930,69
100.0,17500,100
78.0,10206,78
75.0,14587,75
65.0,7800,65
50.0,4960,50
60.0,7392,60
,7424,63
24.0,2522,24
46.0,3672,46
62.0,7706,62
,12929,77
,9316,68
,12122,75
42.0,7711,42
43.0,12352,43
75.0,12447,75
63.0,7500,63
51.0,6120,51
56.0,9576,56
82.0,9942,82
65.0,7898,65
57.0,21872,57
83.0,10005,83
41.0,12393,41
75.0,9000,75
63.0,7875,63
50.0,6000,50
100.0,10175,100
85.0,13600,85
85.0,12172,85
65.0,10237,65
70.0,7000,70
59.0,11228,59
80.0,8000,80
84.0,10728,84
50.0,6000,50
56.0,6931,56
73.0,8760,73
98.0,16033,98
80.0,9024,80
74.0,11563,74
21.0,1680,21
73.0,8760,73
80.0,9600,80
37.0,4435,37
21.0,1680,21
69.0,7599,69
55.0,7264,55
,32668,130
91.0,11825,91
85.0,10200,85
63.0,8849,63
70.0,11184,70
98.0,8820,98
,6615,61
65.0,8773,65
,11088,72
76.0,9158,76
57.0,8280,57
60.0,8544,60
50.0,8635,50
,12735,77
,11000,72
69.0,7590,69
37.0,4435,37
72.0,10152,72
68.0,10295,68
70.0,7763,70
80.0,17120,80
81.0,13870,81
92.0,10120,92
47.0,10820,47
60.0,9600,60
,8121,65
95.0,11639,95
121.0,13758,121
,9771,69
50.0,9000,50
60.0,10320,60
,10448,71
50.0,8635,50
83.0,11980,83
79.0,12327,79
124.0,11512,124
90.0,14684,90
,2665,50
50.0,5250,50
70.0,18044,70
79.0,9245,79
60.0,7200,60
50.0,6000,50
34.0,3628,34
,9156,67
73.0,9066,73
64.0,6410,64
313.0,63887,313
54.0,7244,54
72.0,10152,72
30.0,3000,30
63.0,7500,63
120.0,17360,120
,15957,85
80.0,9600,80
43.0,10667,43
81.0,10530,81
50.0,5000,50
,17082,88
74.0,16287,74
65.0,11050,65
60.0,10440,60
41.0,2665,41
80.0,10389,80
70.0,9658,70
63.0,7500,63
79.0,14122,79
,21000,99
70.0,8737,70
,8750,66
73.0,8499,73
72.0,11072,72
64.0,6762,64
105.0,15431,105
34.0,3230,34
90.0,10800,90
102.0,11143,102
73.0,8925,73
120.0,10356,120
93.0,12299,93
90.0,9900,90
64.0,6762,64
75.0,11625,75
65.0,6435,65
65.0,8450,65
88.0,11577,88
50.0,8340,50
,10708,71
60.0,6911,60
80.0,8800,80
65.0,10739,65
,9572,68
50.0,8012,50
66.0,16226,66
,10899,72
32.0,4500,32
,16647,87
62.0,8707,62
66.0,8300,66
72.0,9770,72
80.0,17400,80
39.0,5070,39
66.0,7920,66
78.0,7020,78
,7500,63
76.0,10612,76
51.0,6120,51
90.0,12376,90
100.0,10004,100
55.0,8250,55
